idx,template_id,expression,status,alpha_id,location,error,result
1,1,"vec_avg(historical_volatility_10),sector),bucket(rank(cap),range=""0.1,1,0.1"")),\",done,,https://api.worldquantbrain.com/simulations/RLHSV7wG4Lfc0iwuSHv7uS,,"{""id"": ""RLHSV7wG4Lfc0iwuSHv7uS"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""tility_10),sector),b\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 33, ""end"": 34, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
2,1,"vec_avg(historical_volatility_120),sector),bucket(rank(cap),range=""0.1,1,0.1"")),\",done,,https://api.worldquantbrain.com/simulations/12vITqgpd5fic2K4KaTw4mO,,"{""id"": ""12vITqgpd5fic2K4KaTw4mO"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ility_120),sector),b\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 34, ""end"": 35, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
3,1,"vec_avg(historical_volatility_150),sector),bucket(rank(cap),range=""0.1,1,0.1"")),\",done,,https://api.worldquantbrain.com/simulations/1BIwKwgIW4wZ8MTbFs0imeS,,"{""id"": ""1BIwKwgIW4wZ8MTbFs0imeS"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ility_150),sector),b\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 34, ""end"": 35, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
4,1,"vec_avg(historical_volatility_180),sector),bucket(rank(cap),range=""0.1,1,0.1"")),\",done,,https://api.worldquantbrain.com/simulations/39Q1OKf7a4sr9QDDIPLGbEc,,"{""id"": ""39Q1OKf7a4sr9QDDIPLGbEc"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ility_180),sector),b\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 34, ""end"": 35, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
5,2,"group_neutralize(group_zscore(cap,sector),bucket(rank(cap),range=""0.1,1,0.1""))),\",done,,https://api.worldquantbrain.com/simulations/Sj8Kx9xO50dbz1QdviyKRb,,"{""id"": ""Sj8Kx9xO50dbz1QdviyKRb"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ')' near \""1,1,0.1\""))),\\\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 78, ""end"": 79, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
6,3,"ts_ir(returns-group_median(returns,sector),126))",done,,https://api.worldquantbrain.com/simulations/Rehhd3Pn4hfbKLG4KrsKN5,,"{""id"": ""Rehhd3Pn4hfbKLG4KrsKN5"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ')' near \""ctor),126))\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 47, ""end"": 48, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
7,4,"fear = ts_mean(abs(returns - group_mean(returns,1,market))/(abs(returns)+abs(group_mean(returns,1,market))+0.1),20);\",done,,https://api.worldquantbrain.com/simulations/1617J8gBI4nxa9qyWeFwP2g,,"{""id"": ""1617J8gBI4nxa9qyWeFwP2g"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character '\\' near \""+0.1),20);\\\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 116, ""end"": 117, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
8,5,"-group_neutralize(fear*group_normalize(ts_decay_exp_window(ts_percentage(vec_count(rsk82_raw_m3g_tni_p_su_fte),60,percentage=0.9)\",done,,https://api.worldquantbrain.com/simulations/2t5lqo7if4v398C1gy68TPZo,,"{""id"": ""2t5lqo7if4v398C1gy68TPZo"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character '\\' near \""ntage=0.9)\\\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 129, ""end"": 130, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
9,6,"-ts_percentage(vec_count(historical_volatility_10),60,percentage=0.1),20, factor=0.8),market)*inverse(abs(ts_entropy(volume,20)))\",done,,https://api.worldquantbrain.com/simulations/JAOP5em84ZA9CaQFe88KgI,,"{""id"": ""JAOP5em84ZA9CaQFe88KgI"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ntage=0.1),20, facto\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 69, ""end"": 70, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
10,6,"-ts_percentage(vec_count(historical_volatility_120),60,percentage=0.1),20, factor=0.8),market)*inverse(abs(ts_entropy(volume,20)))\",done,,https://api.worldquantbrain.com/simulations/3tCoAw5ng4Uq9Uc52lHjKg5,,"{""id"": ""3tCoAw5ng4Uq9Uc52lHjKg5"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ntage=0.1),20, facto\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 70, ""end"": 71, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
