idx,template_id,expression,status,alpha_id,location,error,result
1,1,"vec_avg(historical_volatility_10),sector),bucket(rank(cap),range=""0.1,1,0.1"")),\",done,,https://api.worldquantbrain.com/simulations/PgE8Jfqi51p9Oc1fiMn8aIB,,"{""id"": ""PgE8Jfqi51p9Oc1fiMn8aIB"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""tility_10),sector),b\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 33, ""end"": 34, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
2,1,"vec_avg(historical_volatility_120),sector),bucket(rank(cap),range=""0.1,1,0.1"")),\",done,,https://api.worldquantbrain.com/simulations/1XFzuT3p54hKbEJWbvvJBkr,,"{""id"": ""1XFzuT3p54hKbEJWbvvJBkr"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ility_120),sector),b\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 34, ""end"": 35, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
3,1,"vec_avg(historical_volatility_150),sector),bucket(rank(cap),range=""0.1,1,0.1"")),\",done,,https://api.worldquantbrain.com/simulations/1SghYu7gK4sh8NwiUyY2wRi,,"{""id"": ""1SghYu7gK4sh8NwiUyY2wRi"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ility_150),sector),b\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 34, ""end"": 35, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
4,1,"vec_avg(historical_volatility_180),sector),bucket(rank(cap),range=""0.1,1,0.1"")),\",done,,https://api.worldquantbrain.com/simulations/1v9hJZgsO56Carqej6j55Id,,"{""id"": ""1v9hJZgsO56Carqej6j55Id"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ility_180),sector),b\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 34, ""end"": 35, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
5,2,"group_neutralize(group_zscore(cap,sector),bucket(rank(cap),range=""0.1,1,0.1""))),\",done,,https://api.worldquantbrain.com/simulations/jIkCg6pY4Q6asiImtZAxxp,,"{""id"": ""jIkCg6pY4Q6asiImtZAxxp"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ')' near \""1,1,0.1\""))),\\\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 78, ""end"": 79, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
6,3,"""ts_ir(returns-group_median(returns,sector),126)""",done,,https://api.worldquantbrain.com/simulations/2vjmEAdQ64Ea9pM1b1wjVOQX,,"{""id"": ""2vjmEAdQ64Ea9pM1b1wjVOQX"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ')' near \""ctor),126))\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 47, ""end"": 48, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
7,4,"fear = ts_mean(abs(returns - group_mean(returns,1,market))/(abs(returns)+abs(group_mean(returns,1,market))+0.1),20);\",done,,https://api.worldquantbrain.com/simulations/lDAYagdt4u39A6B8AjvtOI,,"{""id"": ""lDAYagdt4u39A6B8AjvtOI"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character '\\' near \""+0.1),20);\\\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 116, ""end"": 117, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
8,5,"""-group_neutralize(fear*group_normalize(ts_decay_exp_window(ts_percentage(vec_count(rsk82_raw_m3g_tni_p_su_fte),60,percentage=0.9)-ts_percentage(vec_count(historical_volatility_10),60,percentage=0.1),20, factor=0.8),market)*inverse(abs(ts_entropy(volume,20))),bucket(rank(cap),range='0.1,1,0.1'))""",done,,https://api.worldquantbrain.com/simulations/RhZB0eWN4FT9Jw10AQI1c0j,,"{""id"": ""RhZB0eWN4FT9Jw10AQI1c0j"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character '\\' near \""ntage=0.9)\\\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 129, ""end"": 130, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
9,6,"""-ts_percentage(vec_count(historical_volatility_10),60,percentage=0.1)""",done,,https://api.worldquantbrain.com/simulations/2P2ux550z59Da5OB7OBdk9Q,,"{""id"": ""2P2ux550z59Da5OB7OBdk9Q"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ntage=0.1),20, facto\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 69, ""end"": 70, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
10,6,"-ts_percentage(vec_count(historical_volatility_120),60,percentage=0.1),20, factor=0.8),market)*inverse(abs(ts_entropy(volume,20)))\",done,,https://api.worldquantbrain.com/simulations/1W0vmY8jK53jcjsdQtyNSD4,,"{""id"": ""1W0vmY8jK53jcjsdQtyNSD4"", ""type"": ""REGULAR"", ""status"": ""ERROR"", ""message"": ""Unexpected character ',' near \""ntage=0.1),20, facto\"". <linkToCommonErrorMessages>Learn more</linkToCommonErrorMessages>"", ""location"": {""line"": 1, ""start"": 70, ""end"": 71, ""property"": ""regular""}, ""links"": {""linkToCommonErrorMessages"": ""https://support.worldquantbrain.com/hc/en-us/articles/18423410021783--BRAIN-TIPS-Troubleshooting-common-error-messages""}}"
